Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Year Change,Unit Description
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Angola,"2,500","2,800","2,500","2,691","2,487","3,057","3,691","3,458","3,525","3,368","2,794","3,880","4,063","3,547","3,192","1,100","1,011",920,613,260,586,392,330,260,230,250,250,270,200,170,100,80,80,33,100,62,71,64,85,55,50,21,57,38,15,25,35,30,30,30,25,35,29,31,30,25,20,19,20,32,30,30,20,30,35,5,(1000 60 KG BAGS)
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Benin,36,30,18,20,12,11,18,7,28,9,21,43,9,23,49,19,17,3,3,5,36,37,50,55,55,25,20,30,40,35,35,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Bolivia,28,34,38,38,58,59,72,92,59,69,86,92,88,89,100,124,108,118,122,129,145,135,155,150,140,150,157,160,170,170,190,200,85,58,123,151,133,153,150,184,173,118,149,125,165,135,152,140,135,140,125,140,115,128,100,80,75,85,85,85,80,85,90,70,85,15,(1000 60 KG BAGS)
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Brazil,"29,800","39,600","28,900","23,200","11,000","37,700","21,000","24,500","17,000","21,000","11,000","24,600","24,500","14,300","27,500","23,000","9,300","17,500","20,000","22,000","21,500","33,000","17,750","30,000","27,000","33,000","13,900","38,000","25,000","26,000","31,000","28,500","24,000","28,500","28,000","16,800","28,000","23,500","35,600","30,800","34,100","35,100","53,600","33,200","43,600","36,100","46,700","39,100","53,300","44,800","54,500","49,200","57,600","57,200","54,300","49,400","56,100","52,100","66,500","60,500","69,900","58,100","62,600","66,300","66,400",100,(1000 60 KG BAGS)
