Country,1960/1961,1961/1962,1962/1963,1963/1964,1964/1965,1965/1966,1966/1967,1967/1968,1968/1969,1969/1970,1970/1971,1971/1972,1972/1973,1973/1974,1974/1975,1975/1976,1976/1977,1977/1978,1978/1979,1979/1980,1980/1981,1981/1982,1982/1983,1983/1984,1984/1985,1985/1986,1986/1987,1987/1988,1988/1989,1989/1990,1990/1991,1991/1992,1992/1993,1993/1994,1994/1995,1995/1996,1996/1997,1997/1998,1998/1999,1999/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Year Change,Unit Description
Burundi,232,217,202,94,266,227,250,215,278,244,371,420,328,359,479,279,359,285,387,466,315,730,340,730,325,535,495,625,605,616,517,562,607,394,664,434,401,297,357,507,446,261,454,338,337,285,287,209,250,300,235,210,235,185,160,240,200,205,205,265,230,165,175,140,150,10,(1000 60 KG BAGS)
Cameroon,855,543,750,856,863,"1,176","1,193","1,204","1,194","1,192","1,180","1,250","1,363","1,553","1,820","1,482","1,307","1,371","1,634","1,658","1,860","1,850","1,830","1,000","2,316","2,067","2,191","1,251","1,760","1,440","1,450","1,920",837,682,403,663,"1,432",889,"1,114","1,370","1,113",686,801,900,727,850,835,695,650,590,715,735,535,425,575,625,500,425,450,475,400,275,270,245,275,30,(1000 60 KG BAGS)
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Central African Republic,130,141,99,180,121,183,150,142,155,242,212,195,193,132,194,150,166,165,130,230,277,284,316,150,275,250,255,215,362,300,350,350,200,165,250,108,208,115,214,241,122,75,92,25,20,21,45,50,10,30,27,10,7,6,6,8,5,3,2,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,386,361,365,428,433,555,"1,173",827,"1,090","1,535","1,947","2,125","1,925","1,900","1,925","1,925","2,000","1,900","1,800","1,800","1,800","1,800",0,(1000 60 KG BAGS)
Colombia,"7,260","7,571","7,180","7,556","8,428","8,200","7,600","8,000","7,900","8,450","8,000","7,200","8,600","7,800","9,000","8,500","9,300","11,050","12,600","12,712","13,500","14,342","13,300","13,000","11,000","12,000","11,000","13,000","10,700","13,300","14,500","17,980","14,950","11,400","13,000","12,939","10,779","12,043","10,868","9,512","10,500","11,950","11,712","11,053","11,532","11,953","12,164","12,515","8,664","8,100","8,525","7,655","9,927","12,075","13,300","14,000","14,600","13,825","13,870","14,100","13,400","11,800","10,700","12,760","12,900",140,(1000 60 KG BAGS)
Congo (Brazzaville),5,8,11,11,8,22,11,16,21,25,16,18,14,8,11,28,33,46,107,43,40,36,32,35,25,20,15,15,25,25,25,25,25,3,8,12,14,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Congo (Kinshasa),693,706,867,"1,050",779,684,"1,087","1,200","1,167","1,453","1,222","1,335","1,508","1,585","1,276","1,072","1,417","1,129","1,293","1,316","1,526","1,425","1,354","1,350","1,540","1,610","1,875","2,000","1,750","2,000","1,695","1,500","1,790",980,"1,298","1,099",794,800,644,477,362,420,319,350,260,236,280,315,300,305,265,255,230,240,220,220,230,250,245,255,250,270,255,225,275,50,(1000 60 KG BAGS)
Costa Rica,951,"1,073",952,"1,043",845,"1,001","1,164","1,313","1,228","1,403","1,295","1,551","1,266","1,539","1,430","1,276","1,331","1,449","1,749","1,522","2,140","1,782","2,300","2,070","2,516","1,514","2,566","2,375","2,758","2,453","2,565","2,530","2,620","2,475","2,492","2,595","2,376","2,455","2,459","2,688","2,502","2,338","2,207","2,106","1,907","1,751","1,782","1,867","1,580","1,475","1,575","1,775","1,675","1,450","1,400","1,625","1,300","1,525","1,250","1,466","1,472","1,215","1,100","1,100","1,100",0,(1000 60 KG BAGS)
Cote d'Ivoire,"3,134","1,608","3,140","4,275","3,342","4,343","2,010","4,712","3,328","4,414","3,996","4,544","4,007","4,368","4,486","5,266","4,867","3,123","4,742","3,973","6,090","4,160","4,510","1,420","4,609","4,420","4,405","3,103","3,989","4,734","3,300","3,967","2,500","2,700","3,733","2,900","5,333","4,080","2,217","5,700","5,100","3,568","1,825","2,689","1,801","2,062","2,447","2,098","1,853","2,350","1,600","1,600","1,750","1,675","1,400","1,600","1,090","1,250","2,000","1,775",910,"1,110","1,020","1,325","1,400",75,(1000 60 KG BAGS)
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Cuba,700,750,630,475,600,460,450,450,500,500,475,460,475,500,450,365,400,262,223,372,344,383,300,385,400,396,408,436,450,475,480,450,335,285,284,285,366,300,280,328,313,285,239,224,154,125,100,70,127,120,120,170,125,150,150,150,150,100,110,90,100,100,100,100,100,0,(1000 60 KG BAGS)
Dominican Republic,550,649,625,755,758,709,576,706,602,795,853,768,767,853,883,"1,054",733,"1,062",664,"1,020","1,105",813,"1,159",871,913,910,786,837,726,756,672,702,682,545,700,795,638,941,422,694,439,435,455,351,491,310,390,465,545,500,500,500,475,275,225,225,225,125,125,120,120,125,125,125,125,0,(1000 60 KG BAGS)
Ecuador,594,728,626,619,783,960,899,"1,098",974,581,"1,255","1,027","1,059","1,414",961,"1,244","1,389","1,434","1,640","1,609","1,517","1,792","1,800","1,380","1,500","1,966","2,268","1,663","2,150","2,150","1,830","1,700","1,560","2,150","2,550","1,900","1,815","1,230","1,322","1,295","1,005",910,790,692,733,835,875,825,635,685,650,630,465,220,255,225,170,205,255,275,255,260,354,370,355,-15,(1000 60 KG BAGS)
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
El Salvador,"1,452","1,930","1,638","1,904","2,052","1,810","1,935","2,393","1,817","2,468","2,054","2,680","2,238","2,370","3,800","2,030","2,610","2,800","3,423","3,322","2,940","2,886","2,800","2,400","2,680","2,300","2,275","2,538","1,492","2,787","2,603","2,357","2,894","2,361","2,314","2,325","2,498","2,040","1,860","2,612","1,624","1,610","1,351","1,343","1,329","1,387","1,400","1,650","1,550","1,300","1,860","1,200","1,250",550,700,560,600,660,654,510,540,600,550,500,500,0,(1000 60 KG BAGS)
Equatorial Guinea,120,120,120,120,130,126,130,146,126,120,120,116,45,55,70,25,10,10,10,10,15,20,15,15,15,15,18,18,15,15,15,15,15,0,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Ethiopia,"1,687","2,007","2,073","2,205","2,416","2,234","2,426","2,153","1,988","2,991","2,589","2,290","2,580","2,187","2,488","2,611","2,782","3,143","3,142","3,188","3,264","3,212","3,350","3,300","2,587","2,833","2,700","3,200","3,400","3,400","3,500","3,000","3,500","3,700","3,800","3,800","3,800","3,833","3,867","3,505","2,768","3,756","3,693","3,875","4,068","4,500","5,000","5,000","5,500","6,000","6,125","6,320","6,500","6,345","6,475","6,510","6,943","7,055","7,350","7,475","7,600","8,150","7,300","8,600","8,360",-240,(1000 60 KG BAGS)
European Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Gabon,14,19,24,16,24,18,13,16,7,11,17,11,12,6,3,1,7,3,6,8,8,15,29,35,40,25,12,30,35,30,37,25,25,3,8,2,2,3,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Ghana,54,38,40,116,32,100,66,113,92,83,39,58,60,61,78,56,70,32,31,35,27,35,23,20,15,15,18,14,17,17,35,32,20,46,57,57,32,28,55,89,76,13,29,17,13,17,29,27,19,30,57,70,30,6,4,1,1,1,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Guatemala,"1,500","1,700","1,929","1,712","1,660","2,095","1,726","1,792","1,716","1,941","1,965","2,099","2,133","2,352","2,386","2,043","2,213","2,541","2,827","2,647","2,702","2,653","2,530","2,340","2,703","2,650","2,843","3,020","3,022","3,472","3,282","3,549","3,584","3,078","3,500","3,827","4,141","4,200","4,300","4,364","4,564","3,530","3,802","3,671","3,817","3,715","4,050","4,110","3,980","4,010","3,960","4,410","4,010","3,515","3,185","3,295","3,570","3,780","3,770","3,645","3,930","3,540","3,270","3,420","3,420",0,(1000 60 KG BAGS)
Guinea,200,235,215,175,150,169,61,103,76,111,125,95,97,70,110,73,89,66,109,48,112,64,65,50,30,85,90,95,100,125,125,125,100,64,198,104,148,172,421,382,368,236,328,366,316,525,400,250,400,445,325,425,165,50,150,280,200,190,70,145,70,300,100,190,175,-15,(1000 60 KG BAGS)
Guyana,5,4,5,5,10,19,19,19,20,18,11,12,12,10,15,15,17,18,19,22,26,26,21,17,15,12,7,4,5,5,5,5,5,5,5,5,5,5,2,2,0,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Haiti,421,746,590,562,588,613,446,534,564,458,564,604,536,580,590,575,486,519,443,669,465,494,674,630,592,505,463,526,479,527,580,550,500,459,358,506,429,435,442,399,420,403,374,350,340,331,337,335,360,275,350,350,325,325,325,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Honduras,291,315,405,390,479,461,431,495,514,443,545,586,759,689,983,847,691,"1,036","1,132","1,137","1,265","1,200","1,500","1,310","1,400","1,062","1,535","1,553","1,635","1,928","1,685","2,255","1,981","2,060","2,295","2,254","2,279","2,905","2,494","3,067","2,821","3,098","2,496","2,968","2,575","3,204","3,460","3,642","3,225","3,550","3,975","5,600","4,725","4,400","5,100","5,300","7,510","7,600","7,100","5,200","6,500","4,800","5,700","5,000","5,300",300,(1000 60 KG BAGS)
India,"1,225",769,"1,028","1,241","1,008","1,154","1,384","1,046","1,310","1,148","1,914","1,236","1,626","1,508","1,662","1,498","1,753","2,031","1,842","2,495","1,977","2,540","2,170","1,667","3,250","2,033","3,350","2,050","3,590","2,150","2,970","3,200","2,700","3,465","3,060","3,717","3,417","3,805","4,415","4,870","5,020","5,010","4,588","4,508","4,595","4,570","4,800","4,365","4,375","4,825","5,035","5,230","5,303","5,075","5,440","5,800","5,200","5,266","5,325","4,967","5,567","5,700","5,867","6,060","6,200",140,(1000 60 KG BAGS)
Indonesia,"1,330","1,857","1,759","2,253","1,983","2,190","2,447","3,006","2,542","2,626","2,330","2,298","2,236","2,609","2,652","3,049","3,384","3,911","4,788","4,803","5,365","5,785","4,750","5,515","5,600","5,800","5,900","5,965","6,750","7,100","7,480","7,100","7,350","7,400","6,400","5,800","7,900","7,000","6,950","6,660","6,495","6,160","6,800","7,250","8,450","9,450","7,500","8,000","10,000","10,500","9,325","7,970","11,900","11,900","10,470","12,100","10,600","10,400","10,600","10,700","10,700","10,580","10,700","8,150","10,900","2,750",(1000 60 KG BAGS)
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Jamaica,18,24,21,26,23,22,22,26,17,21,21,24,21,31,24,30,17,23,14,34,20,23,30,25,25,27,28,41,14,19,26,38,29,35,44,43,54,46,29,39,37,31,37,37,21,34,30,35,31,28,23,20,25,31,27,27,16,16,15,16,15,15,18,19,20,1,(1000 60 KG BAGS)
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Kenya,566,525,635,724,730,859,923,652,803,913,999,"1,020","1,266","1,222","1,102","1,244","1,687","1,417","1,239","1,531","1,568","1,396","1,522","2,160","1,620","1,945","1,750","2,160","1,960","1,740","1,455","1,505","1,217","1,230","1,584","1,810","1,138","1,028","1,148","1,685",864,869,926,847,756,805,876,750,900,900,710,750,660,850,780,750,850,720,850,750,693,860,750,775,750,-25,(1000 60 KG BAGS)
"Korea, South",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,50,75,85,130,90,110,100,120,130,100,150,150,150,283,292,392,430,537,464,385,300,420,355,350,390,500,450,460,475,475,475,410,450,375,440,485,385,410,430,450,20,(1000 60 KG BAGS)
Liberia,15,27,48,72,55,72,74,84,99,82,85,78,86,67,81,86,156,137,144,171,147,165,159,69,209,70,72,60,82,40,30,30,25,5,5,5,5,5,18,12,14,12,63,66,68,71,53,25,7,2,4,5,5,1,3,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Madagascar,933,872,"1,017",833,"1,117",700,892,"1,037","1,120",824,"1,243","1,000",949,"1,303","1,202","1,223",984,"1,292",814,"1,313","1,150","1,305","1,000","1,100","1,100","1,000","1,000","1,125","1,100","1,100","1,100","1,150","1,000",442,642,785,849,623,992,427,366,147,445,435,522,592,582,555,530,475,550,550,525,550,500,255,295,250,280,325,325,300,325,300,300,0,(1000 60 KG BAGS)
Malawi,2,1,3,2,3,1,2,3,3,4,3,3,3,3,3,2,2,2,3,5,7,10,16,21,36,56,59,83,72,95,90,90,137,62,84,91,49,61,64,59,63,60,42,48,21,24,17,25,15,20,24,21,25,25,21,23,16,12,11,10,10,11,11,10,10,0,(1000 60 KG BAGS)
Malaysia,45,43,47,52,52,58,57,60,63,59,66,70,82,98,104,135,125,90,102,98,88,89,90,91,86,83,80,78,75,75,75,75,75,150,153,158,160,195,217,250,700,800,950,"1,000","1,000",700,500,770,975,"1,000","1,100","1,450","1,400","1,500","2,100","2,200","2,100","2,100","2,100","1,900","2,000","2,000","2,000","1,330","1,500",170,(1000 60 KG BAGS)
Mexico,"2,100","2,350","2,202","2,900","2,650","3,000","2,700","2,900","2,865","3,082","3,200","3,400","3,914","3,500","4,030","4,136","3,431","3,301","4,022","3,600","3,862","3,900","4,530","4,530","4,250","4,826","5,297","4,717","5,500","5,100","4,550","4,620","4,180","4,200","4,030","5,400","5,300","4,950","5,010","6,193","4,800","4,200","4,350","4,300","4,000","4,200","4,500","4,350","4,550","4,150","4,000","4,300","4,650","3,950","3,180","2,300","3,300","4,000","3,550","3,700","3,530","3,740","3,545","3,870","3,870",0,(1000 60 KG BAGS)
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
New Caledonia,30,35,35,35,35,35,35,35,30,30,25,20,18,15,12,10,9,5,11,10,10,8,6,4,6,6,6,6,6,5,5,5,5,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Nicaragua,437,432,535,533,610,513,421,556,504,563,641,725,537,683,730,790,852,967,"1,004","1,019",971,"1,004","1,186",809,843,581,712,635,714,743,460,782,545,695,685,986,831,"1,083","1,079","1,514","1,610",895,"1,200","1,547","1,130","1,718","1,300","1,850","1,650","1,925","1,740","2,100","1,925","2,000","2,125","2,125","2,625","2,730","2,950","2,755","2,650","2,838","2,590","2,360","2,685",325,(1000 60 KG BAGS)
Nigeria,18,20,36,95,45,74,44,52,75,60,83,58,45,41,42,67,53,43,60,40,52,52,45,42,48,60,80,95,90,95,90,90,40,45,52,53,46,45,53,46,48,44,50,36,35,59,51,35,30,30,30,40,30,20,20,20,10,5,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
North Macedonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Panama,67,84,73,76,72,72,84,86,75,86,74,89,83,72,75,66,78,105,104,105,142,119,138,150,237,207,195,171,163,182,182,192,172,202,190,209,211,218,192,167,170,160,140,172,90,150,150,150,100,100,125,100,100,95,120,85,95,75,75,75,75,75,85,75,75,0,(1000 60 KG BAGS)
Papua New Guinea,33,54,77,107,141,175,209,210,296,424,401,448,619,608,543,588,802,655,818,776,880,917,648,925,775,860,756,"1,100","1,175","1,092",964,841,"1,030","1,019","1,139","1,002","1,089","1,076","1,351","1,387","1,041","1,063","1,085",813,"1,000","1,265",810,970,"1,035","1,085",865,"1,400",825,855,810,750,"1,115",810,965,825,700,775,875,980,965,-15,(1000 60 KG BAGS)
Paraguay,40,44,103,119,99,106,65,61,67,49,27,62,115,26,126,135,35,66,138,31,130,100,100,100,100,100,100,100,100,100,100,40,60,70,50,45,40,34,66,20,46,20,26,52,26,35,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Peru,598,670,827,800,872,826,789,952,940,951,"1,114",947,"1,087",949,875,881,947,"1,050","1,130","1,265","1,170","1,100","1,100","1,270","1,150","1,250","1,200","1,020","1,400","1,400","1,170","1,150","1,190","1,022","1,453","1,811","1,583","1,820","1,980","2,571","2,824","2,550","2,760","2,870","3,550","2,420","4,400","2,800","4,000","3,300","4,100","5,200","4,300","4,250","2,900","3,500","4,225","4,375","4,390","3,925","3,369","4,200","3,475","4,000","4,350",350,(1000 60 KG BAGS)
Philippines,452,509,490,485,500,503,521,516,519,544,535,521,484,460,467,483,557,563,678,811,944,"1,067","1,225",973,"1,111","1,138","1,125","1,045","1,350","1,149",970,950,900,875,878,876,980,700,684,740,745,735,726,690,700,710,705,460,360,245,460,455,455,450,475,425,475,450,425,450,425,450,475,450,450,0,(1000 60 KG BAGS)
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Rwanda,187,161,192,83,177,167,146,197,192,208,246,257,184,435,497,434,531,362,311,501,506,502,377,536,542,717,643,705,679,561,619,550,650,443,22,330,293,194,222,308,273,296,320,266,317,340,400,230,340,240,317,245,260,250,240,300,230,275,275,350,300,270,260,250,275,25,(1000 60 KG BAGS)
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(1000 60 KG BAGS)
Sierra Leone,89,87,88,104,69,173,52,73,138,109,163,129,195,57,111,64,168,77,230,172,147,176,233,42,129,107,95,110,92,100,100,90,90,37,73,44,41,50,27,59,53,79,42,34,15,60,31,42,87,90,45,90,70,45,65,60,60,65,50,65,75,33,55,35,50,15,(1000 60 KG BAGS)
