Exporter M.49,Exporter ISO3,Exporter,Exporter region,Importer M.49,Importer ISO3,Importer,Importer region,Resource,HS 1996,Year,Value (1000USD),Weight (1000kg)
,,All,,,,All,,"Coffee, not roasted, not decaffeinated",90111,2013,18819563.21,6570060.037
,,All,,,,All,,"Coffee, not roasted, not decaffeinated",90111,2014,20782165.24,6842630.173
,,All,,,,All,,"Coffee, not roasted, not decaffeinated",90111,2015,19695742.29,6688496.693
,,All,,,,All,,"Coffee, not roasted, not decaffeinated",90111,2016,19210571.67,7110877.65
,,All,,,,All,,"Coffee, not roasted, not decaffeinated",90111,2017,20706326.99,7022034.252
