Exporter M.49,Exporter ISO3,Exporter,Exporter region,Resource,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,Coffee,2018,,
8,ALB,Albania,Europe,Coffee,2018,467.843712,61.9027732
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2018,122.794085,19.2693
20,AND,Andorra,Europe,Coffee,2018,170.7863525,42.51726993
24,AGO,Angola,Sub-Saharan Africa,Coffee,2018,1589.379806,882.036321
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2018,50.6771189,4.582661435
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2018,,
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2018,1997.792847,438.332122
36,AUS,Australia,Australia and New Zealand,Coffee,2018,26676.58162,3016.364482
40,AUT,Austria,Europe,Coffee,2018,69414.75964,9044.510038
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2018,0.383896,0.046609
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2018,210.883307,77.7405446
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2018,404.47144,216.4
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2018,4085.089866,990.8629074
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2018,26.947312,2.221054
56,BEL,Belgium,Europe,Coffee,2018,405757.5181,87923.82679
60,BMU,Bermuda,Northern America,Coffee,2018,1.05593,0.11009
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2018,10498.43917,1835.917748
70,BIH,Bosnia Herzegovina,Europe,Coffee,2018,5767.486984,1137.591969
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2018,43.55756445,6.905992609
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2018,4650391.191,1839388.722
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2018,1101.738863,376.3957067
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),Coffee,2018,0.012559,0.001442
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2018,0.073,0.002
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2018,44.207183,14.311823
100,BGR,Bulgaria,Europe,Coffee,2018,83904.12936,16190.33157
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2018,3016.300092,918.8151262
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2018,47577.00933,18480.71725
112,BLR,Belarus,Europe,Coffee,2018,2306.290919,652.9393847
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2018,132.4566962,34.8665717
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2018,37457.26587,18251.52495
124,CAN,Canada,Northern America,Coffee,2018,469259.4761,58301.74622
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2018,190.525085,11.644
