Exporter M.49,Exporter ISO3,Exporter,Exporter region,Resource,Year,Value (1000USD),Weight (1000kg)
8,ALB,Albania,Europe,Coffee,2008,1405.109461,246.1724832
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2008,9.307,3.159
20,AND,Andorra,Europe,Coffee,2008,0.674793,0.16
24,AGO,Angola,Sub-Saharan Africa,Coffee,2008,866.23152,336.539
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2008,1.616,0.36
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2008,1643.914972,367.8655618
36,AUS,Australia,Australia and New Zealand,Coffee,2008,18023.09035,2501.556621
40,AUT,Austria,Europe,Coffee,2008,250520.4459,50540.39546
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2008,57.759482,21.047
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2008,84.6090901,12.199403
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2008,217.707,55.004
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2008,15842.0368,6064.0139
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2008,9.976,0.365
56,BEL,Belgium,Europe,Coffee,2008,618115.6767,146762.1965
64,BTN,Bhutan,Central and Southern Asia,Coffee,2008,363.03,127.954
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2008,16313.51485,5044.399705
70,BIH,Bosnia Herzegovina,Europe,Coffee,2008,3959.481991,839.9225252
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2008,20.57341085,6.307795965
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2008,4259907.419,1563028.635
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2008,15.255,2.995
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2008,,
100,BGR,Bulgaria,Europe,Coffee,2008,20005.95663,3981.829091
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2008,134.466,71.335
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2008,36660.84823,13776.82189
112,BLR,Belarus,Europe,Coffee,2008,70.53,13.67
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2008,0.118,0.01
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2008,79324.41271,35459.45569
124,CAN,Canada,Northern America,Coffee,2008,158649.5368,27336.43796
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2008,291.234,39.791
136,CYM,Cayman Islands,Latin America and the Caribbean,Coffee,2008,69.66583,7.58
140,CAF,Central African Republic,Sub-Saharan Africa,Coffee,2008,4027.339905,2191.0119
144,LKA,Sri Lanka,Central and Southern Asia,Coffee,2008,474.4227935,162.2171482
148,TCD,Chad,Sub-Saharan Africa,Coffee,2008,0.051,0.004
152,CHL,Chile,Latin America and the Caribbean,Coffee,2008,243.003691,90.57712018
156,CHN,China,China,Coffee,2008,73188.03666,23293.45225
170,COL,Colombia,Latin America and the Caribbean,Coffee,2008,2044417.846,643467.4406
174,COM,Comoros,Sub-Saharan Africa,Coffee,2008,38.148,26.29
175,MYT,Mayotte,Sub-Saharan Africa,Coffee,2008,0.013,0.01
178,COG,"Congo, Republic",Sub-Saharan Africa,Coffee,2008,19959.95338,8128.185789
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,Coffee,2008,18280.47624,7221.363
188,CRI,Costa Rica,Latin America and the Caribbean,Coffee,2008,361273.2522,113589.2715
191,HRV,Croatia,Europe,Coffee,2008,7946.137775,1419.44337
192,CUB,Cuba,Latin America and the Caribbean,Coffee,2008,2253.372035,301.97
196,CYP,Cyprus,Northern Africa and Western Asia,Coffee,2008,3256.453232,366.7005012
203,CZE,Czech Republic,Europe,Coffee,2008,66299.86782,10589.67917
204,BEN,Benin,Sub-Saharan Africa,Coffee,2008,0.039,0.03
208,DNK,Denmark,Europe,Coffee,2008,48038.93914,7439.741802
212,DMA,Dominica,Latin America and the Caribbean,Coffee,2008,289.8770425,70.8609362
214,DOM,Dominican Republic,Latin America and the Caribbean,Coffee,2008,18281.96204,4384.740677
218,ECU,Ecuador,Latin America and the Caribbean,Coffee,2008,25951.89227,10799.87887
222,SLV,El Salvador,Latin America and the Caribbean,Coffee,2008,302517.1041,99852.53995
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,Coffee,2008,56.7,20.998
231,ETH,Ethiopia,Sub-Saharan Africa,Coffee,2008,435794.202,141320.2457
232,ERI,Eritrea,Sub-Saharan Africa,Coffee,2008,51.572,18
233,EST,Estonia,Europe,Coffee,2008,31733.6343,9422.906988
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),Coffee,2008,52.051536,8.75803952
246,FIN,Finland,Europe,Coffee,2008,53088.56591,11240.17887
251,FRA,France,Europe,Coffee,2008,114377.2232,18697.73472
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),Coffee,2008,0.232,0.041
262,DJI,Djibouti,Sub-Saharan Africa,Coffee,2008,5019.19033,1467.423
266,GAB,Gabon,Sub-Saharan Africa,Coffee,2008,148.744819,77.911
268,GEO,Georgia,Northern Africa and Western Asia,Coffee,2008,70.601,18.618
270,GMB,Gambia,Sub-Saharan Africa,Coffee,2008,144.402,49.6
275,PSE,State of Palestine,Northern Africa and Western Asia,Coffee,2008,2826.441139,395.726363
276,DEU,Germany,Europe,Coffee,2008,1650214.651,402437.0766
288,GHA,Ghana,Sub-Saharan Africa,Coffee,2008,6214.447963,3556.677947
292,GIB,Gibraltar,Europe,Coffee,2008,47.775,17.91
