Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,Coffee,2003,276.260964,112.365
8,ALB,Albania,Europe,Coffee,2003,7393.812757,5262.21705
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2003,83769.95241,95611.84527
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),Coffee,2003,,
20,AND,Andorra,Europe,Coffee,2003,1960.898711,580.7786274
24,AGO,Angola,Sub-Saharan Africa,Coffee,2003,1080.38976,412.926
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2003,56.695063,61.034
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2003,446.5691057,99.5420741
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2003,27723.5675,30362.80511
36,AUS,Australia,Australia and New Zealand,Coffee,2003,71351.06387,41454.44265
40,AUT,Austria,Europe,Coffee,2003,164409.204,109929.2941
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2003,1106.495298,829.635213
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2003,920.2635689,275.0407605
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2003,122.3184338,98.10689766
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2003,8267.219383,10227.42536
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2003,304.8707525,65.94751319
56,BEL,Belgium,Europe,Coffee,2003,340777.4247,239599.0723
60,BMU,Bermuda,Northern America,Coffee,2003,344.772077,75.656
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2003,311.9130967,243.7543841
70,BIH,Bosnia Herzegovina,Europe,Coffee,2003,14203.67621,12220.3861
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2003,4933.865642,1079.773839
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2003,1442.457165,264.136442
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2003,139.3526033,96.53676526
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),Coffee,2003,0.947,0.13
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2003,542.955,474.208
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2003,274.3596525,94.3773648
100,BGR,Bulgaria,Europe,Coffee,2003,17669.9479,15327.09089
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2003,41.260623,16.063
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2003,28.769,37.2
