Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,Coffee,2008,927.442191,161.198
8,ALB,Albania,Europe,Coffee,2008,20981.68471,5936.928242
10,ATA,Antarctica,,Coffee,2008,,
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2008,272052.6066,118505.9267
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),Coffee,2008,,
20,AND,Andorra,Europe,Coffee,2008,4599.820703,476.7534476
24,AGO,Angola,Sub-Saharan Africa,Coffee,2008,2805.344931,405.622
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2008,190.201456,64.2105
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2008,738.343504,211.7765222
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2008,79641.11755,29615.79497
36,AUS,Australia,Australia and New Zealand,Coffee,2008,214625.5145,61477.48392
40,AUT,Austria,Europe,Coffee,2008,467775.4972,109424.1006
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2008,1279.873405,199.87586
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2008,1838.837052,362.3460996
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2008,145.2790714,55.98905394
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2008,16699.48312,6193.865802
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2008,418.1478186,68.94083134
56,BEL,Belgium,Europe,Coffee,2008,1330047.121,447358.6474
60,BMU,Bermuda,Northern America,Coffee,2008,1743.465392,286.215
64,BTN,Bhutan,Central and Southern Asia,Coffee,2008,130.90804,45.157
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2008,115.7093971,29.71266112
70,BIH,Bosnia Herzegovina,Europe,Coffee,2008,55716.58879,22970.80575
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2008,4599.5,1138.191
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2008,8289.343093,338.7945052
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2008,242.6988933,87.4923749
86,IOT,British Indian Ocean Territory,,Coffee,2008,,
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),Coffee,2008,4.835,1.323
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2008,58.19925,7.68263
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2008,500.2322114,105.9105357
100,BGR,Bulgaria,Europe,Coffee,2008,82312.06535,24677.17118
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2008,2469.122884,668.518
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2008,559.8428322,980.6298289
112,BLR,Belarus,Europe,Coffee,2008,22634.93509,3322.496237
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2008,97.4750405,42.39611668
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2008,311.0598202,112.0010492
124,CAN,Canada,Northern America,Coffee,2008,808692.9837,194110.9597
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2008,1742.07746,659.6717754
136,CYM,Cayman Islands,Latin America and the Caribbean,Coffee,2008,249.80253,32.053
140,CAF,Central African Republic,Sub-Saharan Africa,Coffee,2008,219.756,42.89
144,LKA,Sri Lanka,Central and Southern Asia,Coffee,2008,411.6846968,174.6979571
148,TCD,Chad,Sub-Saharan Africa,Coffee,2008,50.486,4.705
152,CHL,Chile,Latin America and the Caribbean,Coffee,2008,33939.14675,12003.89715
156,CHN,China,China,Coffee,2008,67832.9756,22980.59384
