Exporter M.49,Exporter ISO3,Exporter,Exporter region,Resource,Year,Value (1000USD),Weight (1000kg)
8,ALB,Albania,Europe,Coffee,2003,370.4639043,184.0536111
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2003,84.145124,102.121
20,AND,Andorra,Europe,Coffee,2003,,
24,AGO,Angola,Sub-Saharan Africa,Coffee,2003,834.31427,857.349
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2003,68.653,29.647
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2003,229.2777297,63.51244656
36,AUS,Australia,Australia and New Zealand,Coffee,2003,9050.596423,2161.660201
40,AUT,Austria,Europe,Coffee,2003,69099.17074,25231.43375
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2003,27.661854,4.6696325
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2003,1426.62447,1418.49117
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2003,0.367,0.048
56,BEL,Belgium,Europe,Coffee,2003,221064.8686,99643.65478
60,BMU,Bermuda,Northern America,Coffee,2003,,
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2003,7683.202196,5289.826595
70,BIH,Bosnia Herzegovina,Europe,Coffee,2003,865.329883,289.2889748
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2003,28.204,5.132
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2003,1477609.512,1337337.164
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2003,16.9185,9.088
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2003,233.646,215.141
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2003,32.648,24.737
100,BGR,Bulgaria,Europe,Coffee,2003,529.9418046,320.9497792
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2003,144.622,212.402
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2003,31455.7942,23906.875
112,BLR,Belarus,Europe,Coffee,2003,236,54.208
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2003,2.167,3.145
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2003,65989.86355,54324.91615
124,CAN,Canada,Northern America,Coffee,2003,92178.53392,24540.10844
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2003,42.151711,17.039033
136,CYM,Cayman Islands,Latin America and the Caribbean,Coffee,2003,223.5,97.352
140,CAF,Central African Republic,Sub-Saharan Africa,Coffee,2003,2720.16231,3586.21
144,LKA,Sri Lanka,Central and Southern Asia,Coffee,2003,930.5607132,497.2964394
148,TCD,Chad,Sub-Saharan Africa,Coffee,2003,1,0.3
152,CHL,Chile,Latin America and the Caribbean,Coffee,2003,394.294713,115.444021
156,CHN,China,China,Coffee,2003,22282.25124,16830.97178
170,COL,Colombia,Latin America and the Caribbean,Coffee,2003,900792.437,628912.4306
178,COG,"Congo, Republic",Sub-Saharan Africa,Coffee,2003,8772.35106,7995.488
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,Coffee,2003,5820.979914,5474.874
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),Coffee,2003,0.433303,0.019
188,CRI,Costa Rica,Latin America and the Caribbean,Coffee,2003,229028.9359,156785.2397
191,HRV,Croatia,Europe,Coffee,2003,3440.947039,769.3911035
192,CUB,Cuba,Latin America and the Caribbean,Coffee,2003,7750.265235,5714.116282
196,CYP,Cyprus,Northern Africa and Western Asia,Coffee,2003,593.3824085,240.9996298
203,CZE,Czech Republic,Europe,Coffee,2003,12855.33351,5500.003929
204,BEN,Benin,Sub-Saharan Africa,Coffee,2003,0.017,0.008
208,DNK,Denmark,Europe,Coffee,2003,42066.16262,11622.61446
212,DMA,Dominica,Latin America and the Caribbean,Coffee,2003,484.553445,173.231
214,DOM,Dominican Republic,Latin America and the Caribbean,Coffee,2003,17756.70171,6288.334093
218,ECU,Ecuador,Latin America and the Caribbean,Coffee,2003,17999.70633,13480.31009
222,SLV,El Salvador,Latin America and the Caribbean,Coffee,2003,112486.4963,83456.60698
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,Coffee,2003,539.6331,733.121
231,ETH,Ethiopia,Sub-Saharan Africa,Coffee,2003,198641.4586,144951.5309
232,ERI,Eritrea,Sub-Saharan Africa,Coffee,2003,52.267,64.7
233,EST,Estonia,Europe,Coffee,2003,6958.835051,3511.855077
234,FRO,Faeroe Islands,Europe,Coffee,2003,210,152.21
