Exporter M.49,Exporter ISO3,Exporter,Exporter region,Resource,Year,Value (1000USD),Weight (1000kg)
8,ALB,Albania,Europe,Coffee,2000,148.736697,54.909
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2000,17.216,8.65
20,AND,Andorra,Europe,Coffee,2000,,
24,AGO,Angola,Sub-Saharan Africa,Coffee,2000,2729.83441,1973.246
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2000,213.503,74.068
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2000,1155.613925,610.3144634
36,AUS,Australia,Australia and New Zealand,Coffee,2000,18930.47222,4506.64976
40,AUT,Austria,Europe,Coffee,2000,54185.41317,16913.14054
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2000,1.651,0.117
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2000,5.753,2.573
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2000,153.2867995,57.6724503
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2000,12.075,6
56,BEL,Belgium,Europe,Coffee,2000,244505.1986,105550.4838
60,BMU,Bermuda,Northern America,Coffee,2000,11.049,3.433
64,BTN,Bhutan,Central and Southern Asia,Coffee,2000,134.525,68.67
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2000,13884.61071,7863.045523
70,BIH,Bosnia Herzegovina,Europe,Coffee,2000,69.839,22.3
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2000,35.28981984,26.6747748
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2000,1735301.014,964301.8652
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2000,96.963545,58.246
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2000,736.917,390.105
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2000,0.011,0.001
100,BGR,Bulgaria,Europe,Coffee,2000,899.6303409,532.9498144
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2000,280.963399,232.507
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2000,44770.34408,24018.326
