Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2018,2394.861302,1960.190015
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2018,13.08569705,9.869260718
112,BLR,Belarus,Europe,Coffee,2018,37011.21115,7609.093121
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2018,5253.788991,892.8286886
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2018,160.0829246,34.48992374
124,CAN,Canada,Northern America,Coffee,2018,1227583.087,265601.2887
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2018,2408.784474,808.7113649
136,CYM,Cayman Islands,Latin America and the Caribbean,Coffee,2018,1243.513023,184.2361
140,CAF,Central African Republic,Sub-Saharan Africa,Coffee,2018,134.985859,17.706507
144,LKA,Sri Lanka,Central and Southern Asia,Coffee,2018,665.485932,135.7411
148,TCD,Chad,Sub-Saharan Africa,Coffee,2018,143.158253,19.94422
152,CHL,Chile,Latin America and the Caribbean,Coffee,2018,53053.23559,12987.59838
156,CHN,China,China,Coffee,2018,267608.0447,56685.91913
162,CXR,Christmas Islands,,Coffee,2018,3.84445,0.225
170,COL,Colombia,Latin America and the Caribbean,Coffee,2018,101689.9616,63606.99202
174,COM,Comoros,Sub-Saharan Africa,Coffee,2018,132.5218456,70.68729688
178,COG,"Congo, Republic",Sub-Saharan Africa,Coffee,2018,724.4641627,175.5340307
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,Coffee,2018,740.8218631,151.9198973
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),Coffee,2018,232.681678,20.44945
188,CRI,Costa Rica,Latin America and the Caribbean,Coffee,2018,13135.92671,7256.06872
191,HRV,Croatia,Europe,Coffee,2018,79590.88993,22482.36929
192,CUB,Cuba,Latin America and the Caribbean,Coffee,2018,31592.668,10717.92754
196,CYP,Cyprus,Northern Africa and Western Asia,Coffee,2018,34323.46223,5847.813859
203,CZE,Czech Republic,Europe,Coffee,2018,335564.674,66374.78258
204,BEN,Benin,Sub-Saharan Africa,Coffee,2018,783.1544611,281.6817197
208,DNK,Denmark,Europe,Coffee,2018,177717.8216,38037.71959
212,DMA,Dominica,Latin America and the Caribbean,Coffee,2018,172.935927,80.96093876
214,DOM,Dominican Republic,Latin America and the Caribbean,Coffee,2018,35988.18318,13934.09499
218,ECU,Ecuador,Latin America and the Caribbean,Coffee,2018,20071.87515,7236.028344
222,SLV,El Salvador,Latin America and the Caribbean,Coffee,2018,2655.5678,703.3865389
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,Coffee,2018,253.237506,29.391248
231,ETH,Ethiopia,Sub-Saharan Africa,Coffee,2018,137.3629125,31.9055899
232,ERI,Eritrea,Sub-Saharan Africa,Coffee,2018,194.899147,101.305436
233,EST,Estonia,Europe,Coffee,2018,54072.08849,9136.257282
234,FRO,Faeroe Islands,Europe,Coffee,2018,2522.945771,314.19325
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,Coffee,2018,22.927652,2.037
239,SGS,South Georgia and the South Sandwich Islands,,Coffee,2018,2.084556,0.214918
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),Coffee,2018,2290.951546,258.4432978
246,FIN,Finland,Europe,Coffee,2018,255872.1508,72327.2403
251,FRA,France,Europe,Coffee,2018,2770676.19,446686.6165
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),Coffee,2018,4516.155661,514.4398644
260,ATF,French Southern Territories,,Coffee,2018,61.03628,20.265
262,DJI,Djibouti,Sub-Saharan Africa,Coffee,2018,896.292976,527.704667
266,GAB,Gabon,Sub-Saharan Africa,Coffee,2018,825.8897072,192.2120879
268,GEO,Georgia,Northern Africa and Western Asia,Coffee,2018,23447.94514,9568.420078
270,GMB,Gambia,Sub-Saharan Africa,Coffee,2018,315.5311676,349.1679156
275,PSE,State of Palestine,Northern Africa and Western Asia,Coffee,2018,28566.60612,8008.145835
276,DEU,Germany,Europe,Coffee,2018,3271151.927,1050916.719
288,GHA,Ghana,Sub-Saharan Africa,Coffee,2018,793.8143307,124.6299775
292,GIB,Gibraltar,Europe,Coffee,2018,955.798295,113.977712
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),Coffee,2018,275.5174055,14.28501369
300,GRC,Greece,Europe,Coffee,2018,260650.307,58000.22981
304,GRL,Greenland,Northern America,Coffee,2018,4346.850759,385.2397812
308,GRD,Grenada,Latin America and the Caribbean,Coffee,2018,330.7943859,42.2300941
316,GUM,Guam,Oceania (excl. Australia and New Zealand),Coffee,2018,683.441659,47.594
320,GTM,Guatemala,Latin America and the Caribbean,Coffee,2018,783.4425441,115.8063406
324,GIN,Guinea,Sub-Saharan Africa,Coffee,2018,309.199946,34.602207
328,GUY,Guyana,Latin America and the Caribbean,Coffee,2018,81.43129955,12.79569027
332,HTI,Haiti,Latin America and the Caribbean,Coffee,2018,1961.091821,726.66695
336,VAT,Holy See,Europe,Coffee,2018,3.379939,0.52
340,HND,Honduras,Latin America and the Caribbean,Coffee,2018,420.2098318,130.7968392
344,HKG,"China, Hong Kong SAR",China,Coffee,2018,72917.7143,10482.49259
348,HUN,Hungary,Europe,Coffee,2018,145311.0371,31023.49502
352,ISL,Iceland,Europe,Coffee,2018,19180.70362,2615.913394
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),Coffee,2018,144744.8894,53406.39107
364,IRN,Iran,Central and Southern Asia,Coffee,2018,30503.47819,11160.96036
368,IRQ,Iraq,Northern Africa and Western Asia,Coffee,2018,5345.643905,674.453814
372,IRL,Ireland,Europe,Coffee,2018,103806.8908,17633.48193
376,ISR,Israel,Northern Africa and Western Asia,Coffee,2018,145697.6423,31579.4383
381,ITA,Italy,Europe,Coffee,2018,1734266.306,592065.7454
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,Coffee,2018,3235.782432,246.1195379
388,JAM,Jamaica,Latin America and the Caribbean,Coffee,2018,2054.154709,583.2110649
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),Coffee,2018,1233720.937,374071.562
398,KAZ,Kazakhstan,Central and Southern Asia,Coffee,2018,8389.15214,1230.151079
400,JOR,Jordan,Northern Africa and Western Asia,Coffee,2018,102201.9968,33917.53853
404,KEN,Kenya,Sub-Saharan Africa,Coffee,2018,9592.385175,2540.067266
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),Coffee,2018,7773.487376,3029.1358
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),Coffee,2018,579891.9946,141236.5431
414,KWT,Kuwait,Northern Africa and Western Asia,Coffee,2018,43347.18465,9389.85816
417,KGZ,Kyrgyzstan,Central and Southern Asia,Coffee,2018,952.8193692,133.2161961
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),Coffee,2018,2659.5063,391.660794
422,LBN,Lebanon,Northern Africa and Western Asia,Coffee,2018,77544.81986,32497.71874
426,LSO,Lesotho,Sub-Saharan Africa,Coffee,2018,1123.543115,294.7708252
428,LVA,Latvia,Europe,Coffee,2018,64248.69414,10841.18939
430,LBR,Liberia,Sub-Saharan Africa,Coffee,2018,138.54157,18.0708
434,LBY,Libya,Northern Africa and Western Asia,Coffee,2018,37578.3517,12783.12035
440,LTU,Lithuania,Europe,Coffee,2018,122935.6598,19622.08924
442,LUX,Luxembourg,Europe,Coffee,2018,127847.2616,20616.82328
446,MAC,"China, Macao SAR",China,Coffee,2018,8262.974551,1479.264513
450,MDG,Madagascar,Sub-Saharan Africa,Coffee,2018,5544.070062,2656.916949
454,MWI,Malawi,Sub-Saharan Africa,Coffee,2018,266.740138,49.5368351
458,MYS,Malaysia,Eastern and South-Eastern Asia (excl. China),Coffee,2018,226170.0058,86332.98221
462,MDV,Maldives,Central and Southern Asia,Coffee,2018,7720.848112,538.9736049
466,MLI,Mali,Sub-Saharan Africa,Coffee,2018,920.3235417,338.9210021
470,MLT,Malta,Europe,Coffee,2018,6249.48306,630.8314713
478,MRT,Mauritania,Sub-Saharan Africa,Coffee,2018,376.1559401,584.5645139
480,MUS,Mauritius,Sub-Saharan Africa,Coffee,2018,5385.685088,550.2252061
484,MEX,Mexico,Latin America and the Caribbean,Coffee,2018,123447.1345,36803.16436
490,,"Other Asia, nes",,Coffee,2018,177500.7071,35032.08568
496,MNG,Mongolia,Eastern and South-Eastern Asia (excl. China),Coffee,2018,1454.223172,181.4432317
498,MDA,Moldova,Europe,Coffee,2018,7563.023738,1129.448754
499,MNE,Montenegro,Europe,Coffee,2018,16643.21574,5827.684352
500,MSR,Montserrat,Latin America and the Caribbean,Coffee,2018,24.50405,2.83602
504,MAR,Morocco,Northern Africa and Western Asia,Coffee,2018,111564.3488,48438.004
508,MOZ,Mozambique,Sub-Saharan Africa,Coffee,2018,2793.873993,402.9963911
512,OMN,Oman,Northern Africa and Western Asia,Coffee,2018,16513.26874,5466.174237
516,NAM,Namibia,Sub-Saharan Africa,Coffee,2018,8765.155152,1592.879666
520,NRU,Nauru,Oceania (excl. Australia and New Zealand),Coffee,2018,191.518895,10.593
524,NPL,Nepal,Central and Southern Asia,Coffee,2018,681.009612,172.7275801
528,NLD,Netherlands,Europe,Coffee,2018,1071859.408,210679.4859
531,CUW,Curacao,Latin America and the Caribbean,Coffee,2018,1767.617785,288.628715
533,ABW,Aruba,Latin America and the Caribbean,Coffee,2018,4164.972777,420.0857453
534,SXM,Sint Maarten (Dutch part),Latin America and the Caribbean,Coffee,2018,425.062944,37.188383
535,BES,Bonaire,Latin America and the Caribbean,Coffee,2018,310.361421,34.833
540,NCL,New Caledonia,Oceania (excl. Australia and New Zealand),Coffee,2018,3343.731313,382.901178
548,VUT,Vanuatu,Oceania (excl. Australia and New Zealand),Coffee,2018,47.072998,4.288595
554,NZL,New Zealand,Australia and New Zealand,Coffee,2018,74062.34577,14957.78393
558,NIC,Nicaragua,Latin America and the Caribbean,Coffee,2018,141.918648,22.71222928
562,NER,Niger,Sub-Saharan Africa,Coffee,2018,288.1233137,64.8474223
566,NGA,Nigeria,Sub-Saharan Africa,Coffee,2018,2122.595842,1110.527058
568,,"Other Europe, nes",,Coffee,2018,32.955087,7.768
570,NIU,Niue,Oceania (excl. Australia and New Zealand),Coffee,2018,31.170488,0.858
574,NFK,Norfolk Islands,Australia and New Zealand,Coffee,2018,337.63872,96.396
577,,"Other Africa, nes",,Coffee,2018,3.138818,0.114
579,NOR,Norway,Europe,Coffee,2018,173773.7762,39753.00175
580,MNP,Northern Mariana Islands,Oceania (excl. Australia and New Zealand),Coffee,2018,57.853221,3.162
583,FSM,Micronesia,Oceania (excl. Australia and New Zealand),Coffee,2018,11.181672,1.016
584,MHL,Marshall Islands,Oceania (excl. Australia and New Zealand),Coffee,2018,60.829547,6.39261
585,PLW,Palau,Oceania (excl. Australia and New Zealand),Coffee,2018,526.6494017,168.4701521
586,PAK,Pakistan,Central and Southern Asia,Coffee,2018,1325.082285,165.0770543
591,PAN,Panama,Latin America and the Caribbean,Coffee,2018,12114.09175,3454.584282
598,PNG,Papua New Guinea,Oceania (excl. Australia and New Zealand),Coffee,2018,1646.273684,156.23706
600,PRY,Paraguay,Latin America and the Caribbean,Coffee,2018,4017.113486,1155.742709
604,PER,Peru,Latin America and the Caribbean,Coffee,2018,4522.278885,437.9726655
608,PHL,Philippines,Eastern and South-Eastern Asia (excl. China),Coffee,2018,87858.82153,28014.62813
616,POL,Poland,Europe,Coffee,2018,591874.3391,162674.5099
620,PRT,Portugal,Europe,Coffee,2018,266427.4992,63736.03991
624,GNB,Guinea-Bissau,Sub-Saharan Africa,Coffee,2018,72.43140123,11.51674437
626,TLS,Timor-Leste,Eastern and South-Eastern Asia (excl. China),Coffee,2018,1559.774491,689.9159058
634,QAT,Qatar,Northern Africa and Western Asia,Coffee,2018,22515.76487,2891.013874
642,ROU,Romania,Europe,Coffee,2018,238036.8088,49365.31788
643,RUS,Russian Federation,Europe,Coffee,2018,535960.1451,150205.9929
646,RWA,Rwanda,Sub-Saharan Africa,Coffee,2018,589.4101199,273.047568
652,BLM,Saint-Barthelemy,Latin America and the Caribbean,Coffee,2018,201.814968,33.117826
654,SHN,Saint Helena,Sub-Saharan Africa,Coffee,2018,4.195778,1.70643
659,KNA,Saint Kitts and Nevis,Latin America and the Caribbean,Coffee,2018,101.135652,7.35521
660,AIA,Anguilla,Latin America and the Caribbean,Coffee,2018,3.689203,0.286
662,LCA,Saint Lucia,Latin America and the Caribbean,Coffee,2018,655.262765,56.8905114
666,SPM,Saint Pierre and Miquelon,Northern America,Coffee,2018,132.102912,15.010139
670,VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Coffee,2018,68.7553293,10.53398324
674,SMR,San Marino,Europe,Coffee,2018,0.127092,0.01
678,STP,Sao Tome and Principe,Sub-Saharan Africa,Coffee,2018,75.4236875,7.093334036
682,SAU,Saudi Arabia,Northern Africa and Western Asia,Coffee,2018,205447.6026,57270.47735
686,SEN,Senegal,Sub-Saharan Africa,Coffee,2018,9439.816453,7843.95513
688,SRB,Serbia,Europe,Coffee,2018,79149.95686,29379.39272
690,SYC,Seychelles,Sub-Saharan Africa,Coffee,2018,2002.768855,539.6461939
694,SLE,Sierra Leone,Sub-Saharan Africa,Coffee,2018,635.6117702,102.3008804
699,IND,India,Central and Southern Asia,Coffee,2018,124481.8823,54476.95412
702,SGP,Singapore,Eastern and South-Eastern Asia (excl. China),Coffee,2018,82906.19313,19836.01221
703,SVK,Slovakia,Europe,Coffee,2018,209161.8529,42446.85536
704,VNM,Vietnam,Eastern and South-Eastern Asia (excl. China),Coffee,2018,99898.81304,32934.95356
705,SVN,Slovenia,Europe,Coffee,2018,109752.2712,35392.16065
706,SOM,Somalia,Sub-Saharan Africa,Coffee,2018,423.76446,126.6235
710,ZAF,South Africa,Sub-Saharan Africa,Coffee,2018,84936.03805,20349.88636
716,ZWE,Zimbabwe,Sub-Saharan Africa,Coffee,2018,265.7220721,37.02338098
724,ESP,Spain,Europe,Coffee,2018,1016749.261,277074.866
728,SSD,South Sudan,Sub-Saharan Africa,Coffee,2018,1052.090327,811.506
729,SDN,Sudan,Northern Africa and Western Asia,Coffee,2018,65382.43276,30200.58557
740,SUR,Suriname,Latin America and the Caribbean,Coffee,2018,233.8629415,40.2798271
748,SWZ,Eswatini,Sub-Saharan Africa,Coffee,2018,2083.922825,660.607424
752,SWE,Sweden,Europe,Coffee,2018,416149.627,116800.3728
757,CHE,Switzerland,Europe,Coffee,2018,636069.4203,149837.3801
760,SYR,Syria,Northern Africa and Western Asia,Coffee,2018,49213.6777,23194.1748
762,TJK,Tajikistan,Central and Southern Asia,Coffee,2018,124.6164623,27.84263306
764,THA,Thailand,Eastern and South-Eastern Asia (excl. China),Coffee,2018,131123.6882,42482.92173
768,TGO,Togo,Sub-Saharan Africa,Coffee,2018,257.4103414,103.1465274
772,TKL,Tokelau,Oceania (excl. Australia and New Zealand),Coffee,2018,9.856804,3.46674
776,TON,Tonga,Oceania (excl. Australia and New Zealand),Coffee,2018,5.297097,0.24224
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,Coffee,2018,1635.473895,409.1731411
784,ARE,United Arab Emirates,Northern Africa and Western Asia,Coffee,2018,101740.6688,19478.14775
788,TUN,Tunisia,Northern Africa and Western Asia,Coffee,2018,57704.9243,22882.09198
792,TUR,Turkey,Northern Africa and Western Asia,Coffee,2018,194225.6262,65144.72029
795,TKM,Turkmenistan,Central and Southern Asia,Coffee,2018,517.598303,74.43058
796,TCA,Turks and Caicos Islands,Latin America and the Caribbean,Coffee,2018,247.356441,21.96619
798,TUV,Tuvalu,Oceania (excl. Australia and New Zealand),Coffee,2018,41.107203,5.22891
800,UGA,Uganda,Sub-Saharan Africa,Coffee,2018,14499.24531,14419.6525
804,UKR,Ukraine,Europe,Coffee,2018,146218.2251,42405.63517
807,MKD,North Macedonia,Europe,Coffee,2018,25057.62731,7869.650881
818,EGY,Egypt,Northern Africa and Western Asia,Coffee,2018,115324.4359,38496.18398
826,GBR,United Kingdom,Europe,Coffee,2018,1120742.172,249444.6927
834,TZA,Tanzania,Sub-Saharan Africa,Coffee,2018,352.1792424,128.119034
837,,Bunkers,,Coffee,2018,4362.348667,471.038006
838,,Free Zones,,Coffee,2018,1709.906313,518.582638
839,,Special Categories,,Coffee,2018,69.897714,15.70161
842,USA,United States,Northern America,Coffee,2018,5494613.926,1493009.603
854,BFA,Burkina Faso,Sub-Saharan Africa,Coffee,2018,274.4378584,135.4542177
858,URY,Uruguay,Latin America and the Caribbean,Coffee,2018,5939.100903,1480.303024
860,UZB,Uzbekistan,Central and Southern Asia,Coffee,2018,1193.856841,205.978835
862,VEN,Venezuela,Latin America and the Caribbean,Coffee,2018,7157.786979,2100.949837
876,WLF,Wallis and Futuna Islands,Oceania (excl. Australia and New Zealand),Coffee,2018,27.434279,2.791919
882,WSM,Samoa,Oceania (excl. Australia and New Zealand),Coffee,2018,545.9934079,252.6383455
887,YEM,Yemen,Northern Africa and Western Asia,Coffee,2018,2668.563245,1213.211208
894,ZMB,Zambia,Sub-Saharan Africa,Coffee,2018,1081.762151,202.8931327
899,,"Areas, nes",,Coffee,2018,109140.0444,42111.8315
4,AFG,Afghanistan,Central and Southern Asia,Coffee,2019,856.07407,157.42189
8,ALB,Albania,Europe,Coffee,2019,28903.79509,7925.494358
10,ATA,Antarctica,,Coffee,2019,,
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2019,203028.5229,123939.647
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),Coffee,2019,,
20,AND,Andorra,Europe,Coffee,2019,6579.761048,588.7298664
24,AGO,Angola,Sub-Saharan Africa,Coffee,2019,5176.845076,992.9272076
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2019,407.7785034,61.3443847
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2019,2603.894664,274.4452097
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2019,77289.45099,31006.12414
36,AUS,Australia,Australia and New Zealand,Coffee,2019,443005.0268,105203.4527
40,AUT,Austria,Europe,Coffee,2019,437058.5153,71671.54484
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2019,4125.202608,555.4563494
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2019,8227.54454,1148.768038
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2019,970.89286,159.656453
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2019,17338.31278,8636.933994
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2019,1297.649913,177.8850021
56,BEL,Belgium,Europe,Coffee,2019,1032985.644,348768.1019
60,BMU,Bermuda,Northern America,Coffee,2019,2009.037982,182.4289714
64,BTN,Bhutan,Central and Southern Asia,Coffee,2019,13.419124,4.2
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2019,611.9192069,72.5136287
70,BIH,Bosnia Herzegovina,Europe,Coffee,2019,33312.67016,13164.19053
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2019,5129.69363,1089.879374
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2019,80991.50578,5291.64846
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2019,1504.94664,709.2803494
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),Coffee,2019,39.011327,1.9727
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2019,69.727882,9.522
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2019,820.3546993,146.6748235
100,BGR,Bulgaria,Europe,Coffee,2019,107912.2463,33269.44328
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2019,2005.714695,1760.921874
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2019,21.73988906,18.185
112,BLR,Belarus,Europe,Coffee,2019,41782.57166,9420.029469
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2019,7061.384069,2237.591758
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2019,167.8775796,41.26407748
124,CAN,Canada,Northern America,Coffee,2019,1217545.02,280557.2841
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2019,2133.579599,778.69435
136,CYM,Cayman Islands,Latin America and the Caribbean,Coffee,2019,1873.872937,193.25548
140,CAF,Central African Republic,Sub-Saharan Africa,Coffee,2019,214.8227437,54.85218689
144,LKA,Sri Lanka,Central and Southern Asia,Coffee,2019,810.7511888,144.0646058
148,TCD,Chad,Sub-Saharan Africa,Coffee,2019,135.349923,17.767
152,CHL,Chile,Latin America and the Caribbean,Coffee,2019,57405.88531,18180.77229
156,CHN,China,China,Coffee,2019,261114.2553,65771.86632
162,CXR,Christmas Islands,,Coffee,2019,0.614949,0.072
170,COL,Colombia,Latin America and the Caribbean,Coffee,2019,65833.09059,40339.21523
174,COM,Comoros,Sub-Saharan Africa,Coffee,2019,187.9938151,89.93578744
178,COG,"Congo, Republic",Sub-Saharan Africa,Coffee,2019,815.9756668,224.5616817
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,Coffee,2019,444.5760976,91.95666319
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),Coffee,2019,235.126326,19.0482
188,CRI,Costa Rica,Latin America and the Caribbean,Coffee,2019,24310.32164,15358.15622
191,HRV,Croatia,Europe,Coffee,2019,76242.03817,23866.7062
192,CUB,Cuba,Latin America and the Caribbean,Coffee,2019,4090.835212,1618.634707
196,CYP,Cyprus,Northern Africa and Western Asia,Coffee,2019,31268.69485,5345.0796
203,CZE,Czech Republic,Europe,Coffee,2019,310449.6303,62521.33649
204,BEN,Benin,Sub-Saharan Africa,Coffee,2019,253.5758197,136.7672209
208,DNK,Denmark,Europe,Coffee,2019,164345.8383,39416.61173
212,DMA,Dominica,Latin America and the Caribbean,Coffee,2019,54.43085303,17.08995235
214,DOM,Dominican Republic,Latin America and the Caribbean,Coffee,2019,34753.08232,15383.217
218,ECU,Ecuador,Latin America and the Caribbean,Coffee,2019,36691.53814,23084.72007
222,SLV,El Salvador,Latin America and the Caribbean,Coffee,2019,2725.246601,706.9702334
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,Coffee,2019,305.341493,28.08593
231,ETH,Ethiopia,Sub-Saharan Africa,Coffee,2019,380.212389,93.4254693
232,ERI,Eritrea,Sub-Saharan Africa,Coffee,2019,1.202343,0.096
233,EST,Estonia,Europe,Coffee,2019,43296.66146,7924.387659
234,FRO,Faeroe Islands,Europe,Coffee,2019,2824.27763,371.922
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,Coffee,2019,32.179261,2.791
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),Coffee,2019,2317.688864,296.9898971
246,FIN,Finland,Europe,Coffee,2019,264308.6297,80655.25262
251,FRA,France,Europe,Coffee,2019,2426562.729,374048.9354
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),Coffee,2019,3980.270324,443.1041775
260,ATF,French Southern Territories,,Coffee,2019,61.868204,20.137
262,DJI,Djibouti,Sub-Saharan Africa,Coffee,2019,922.841756,327.28983
266,GAB,Gabon,Sub-Saharan Africa,Coffee,2019,652.1722951,180.3939547
268,GEO,Georgia,Northern Africa and Western Asia,Coffee,2019,24687.08138,10970.34702
270,GMB,Gambia,Sub-Saharan Africa,Coffee,2019,679.2552423,401.8755134
275,PSE,State of Palestine,Northern Africa and Western Asia,Coffee,2019,32050.52217,10299.35164
276,DEU,Germany,Europe,Coffee,2019,3054099.869,1178916.907
288,GHA,Ghana,Sub-Saharan Africa,Coffee,2019,803.1391322,91.25524345
292,GIB,Gibraltar,Europe,Coffee,2019,789.739961,94.805946
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),Coffee,2019,14.704526,1.276
300,GRC,Greece,Europe,Coffee,2019,252674.8579,64495.17763
304,GRL,Greenland,Northern America,Coffee,2019,4026.481166,377.572401
308,GRD,Grenada,Latin America and the Caribbean,Coffee,2019,321.9100533,43.80119906
316,GUM,Guam,Oceania (excl. Australia and New Zealand),Coffee,2019,640.814341,41.59451
320,GTM,Guatemala,Latin America and the Caribbean,Coffee,2019,1327.656069,182.5192959
324,GIN,Guinea,Sub-Saharan Africa,Coffee,2019,294.908299,54.52218
328,GUY,Guyana,Latin America and the Caribbean,Coffee,2019,308.7365716,92.24881847
332,HTI,Haiti,Latin America and the Caribbean,Coffee,2019,1592.673583,1113.835879
340,HND,Honduras,Latin America and the Caribbean,Coffee,2019,267.7909907,111.7987809
344,HKG,"China, Hong Kong SAR",China,Coffee,2019,51641.88343,9025.710494
348,HUN,Hungary,Europe,Coffee,2019,131584.035,28555.5116
352,ISL,Iceland,Europe,Coffee,2019,19984.33391,2699.997999
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),Coffee,2019,65224.87334,31956.49877
364,IRN,Iran,Central and Southern Asia,Coffee,2019,38850.33493,15256.96474
368,IRQ,Iraq,Northern Africa and Western Asia,Coffee,2019,6812.994002,1173.4371
372,IRL,Ireland,Europe,Coffee,2019,111755.663,17583.99363
376,ISR,Israel,Northern Africa and Western Asia,Coffee,2019,143957.5224,36763.21589
381,ITA,Italy,Europe,Coffee,2019,1653499.467,661904.7468
