Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,Coffee,2018,1113.489908,126.38468
8,ALB,Albania,Europe,Coffee,2018,28880.07297,7035.005946
10,ATA,Antarctica,,Coffee,2018,,
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2018,228199.2857,88820.20558
16,ASM,American Samoa,Oceania (excl. Australia and New Zealand),Coffee,2018,,
20,AND,Andorra,Europe,Coffee,2018,6412.245879,558.010119
24,AGO,Angola,Sub-Saharan Africa,Coffee,2018,8053.089876,1193.113846
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2018,630.6808651,83.93593686
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2018,2164.351035,231.0167127
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2018,92115.95448,28779.83772
36,AUS,Australia,Australia and New Zealand,Coffee,2018,469679.131,94096.70431
40,AUT,Austria,Europe,Coffee,2018,425434.4366,62593.41147
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2018,4562.757324,709.4764281
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2018,7969.999365,1014.860333
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2018,763.680138,127.0092
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2018,19352.09473,8843.030926
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2018,1145.355562,180.4560421
56,BEL,Belgium,Europe,Coffee,2018,1168776.969,336182.7343
60,BMU,Bermuda,Northern America,Coffee,2018,2547.495742,272.3164129
64,BTN,Bhutan,Central and Southern Asia,Coffee,2018,6.167351,1.44
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2018,539.9909449,67.8263528
70,BIH,Bosnia Herzegovina,Europe,Coffee,2018,61251.71178,23507.64815
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2018,6395.925902,1240.036944
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2018,61079.45864,4403.670978
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2018,1196.931066,703.7309741
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),Coffee,2018,2312.523542,330.1084293
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2018,44.63897,6.62239
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2018,712.4881461,144.9442787
100,BGR,Bulgaria,Europe,Coffee,2018,112580.527,29371.46872
