Importer M.49,Importer ISO3,Importer,Importer region,Resource,Year,Value (1000USD),Weight (1000kg)
4,AFG,Afghanistan,Central and Southern Asia,Coffee,2000,7.415,2.09
8,ALB,Albania,Europe,Coffee,2000,4486.901851,3688.640466
12,DZA,Algeria,Northern Africa and Western Asia,Coffee,2000,90284.77522,82553.31829
20,AND,Andorra,Europe,Coffee,2000,1579.426659,458.4895742
24,AGO,Angola,Sub-Saharan Africa,Coffee,2000,750.295073,135.284
28,ATG,Antigua and Barbuda,Latin America and the Caribbean,Coffee,2000,123.268141,54.3983637
31,AZE,Azerbaijan,Northern Africa and Western Asia,Coffee,2000,126.941792,39.76256816
32,ARG,Argentina,Latin America and the Caribbean,Coffee,2000,55853.29892,34419.26365
36,AUS,Australia,Australia and New Zealand,Coffee,2000,82023.74085,47930.91656
40,AUT,Austria,Europe,Coffee,2000,158930.5511,76615.78951
44,BHS,Bahamas,Latin America and the Caribbean,Coffee,2000,960.212292,197.241486
48,BHR,Bahrain,Northern Africa and Western Asia,Coffee,2000,380.51237,294.214
50,BGD,Bangladesh,Central and Southern Asia,Coffee,2000,48.667885,48.899
51,ARM,Armenia,Northern Africa and Western Asia,Coffee,2000,13671.943,8077.795
52,BRB,Barbados,Latin America and the Caribbean,Coffee,2000,278.1731974,70.83515908
56,BEL,Belgium,Europe,Coffee,2000,395106.9704,243022.2158
60,BMU,Bermuda,Northern America,Coffee,2000,132.687203,29.836
64,BTN,Bhutan,Central and Southern Asia,Coffee,2000,,
68,BOL,Bolivia,Latin America and the Caribbean,Coffee,2000,148.9801526,82.3713627
70,BIH,Bosnia Herzegovina,Europe,Coffee,2000,5504.52032,1455.398
72,BWA,Botswana,Sub-Saharan Africa,Coffee,2000,2027.529503,1348.446969
76,BRA,Brazil,Latin America and the Caribbean,Coffee,2000,2095.468191,389.2970942
84,BLZ,Belize,Latin America and the Caribbean,Coffee,2000,136.248476,60.1507973
90,SLB,Solomon Islands,Oceania (excl. Australia and New Zealand),Coffee,2000,,
92,VGB,British Virgin Islands,Latin America and the Caribbean,Coffee,2000,832.58909,332.25
96,BRN,Brunei Darussalam,Eastern and South-Eastern Asia (excl. China),Coffee,2000,323.628395,120.134
100,BGR,Bulgaria,Europe,Coffee,2000,18030.15385,16938.3907
104,MMR,Myanmar,Eastern and South-Eastern Asia (excl. China),Coffee,2000,200.79,81.708
108,BDI,Burundi,Sub-Saharan Africa,Coffee,2000,48.037,28.391
112,BLR,Belarus,Europe,Coffee,2000,3822.405279,791.1666885
116,KHM,Cambodia,Eastern and South-Eastern Asia (excl. China),Coffee,2000,87.8001396,73.63762044
120,CMR,Cameroon,Sub-Saharan Africa,Coffee,2000,44.13719123,23.68794331
124,CAN,Canada,Northern America,Coffee,2000,464081.3349,192440.8082
132,CPV,Cabo Verde,Sub-Saharan Africa,Coffee,2000,1227.028687,596.4043817
136,CYM,Cayman Islands,Latin America and the Caribbean,Coffee,2000,160.948439,19.229
140,CAF,Central African Republic,Sub-Saharan Africa,Coffee,2000,2.904,0.481
144,LKA,Sri Lanka,Central and Southern Asia,Coffee,2000,1126.495695,386.1027651
152,CHL,Chile,Latin America and the Caribbean,Coffee,2000,15891.54637,11875.47554
156,CHN,China,China,Coffee,2000,8174.5633,6187.796147
170,COL,Colombia,Latin America and the Caribbean,Coffee,2000,1600.447535,1495.093976
174,COM,Comoros,Sub-Saharan Africa,Coffee,2000,0.388,0.106
175,MYT,Mayotte,Sub-Saharan Africa,Coffee,2000,193.962603,55.090259
178,COG,"Congo, Republic",Sub-Saharan Africa,Coffee,2000,154.550065,64.913
180,COD,"Congo, Democratic Republic",Sub-Saharan Africa,Coffee,2000,399.578,205.818
184,COK,Cook Islands,Oceania (excl. Australia and New Zealand),Coffee,2000,34.947,9.444
188,CRI,Costa Rica,Latin America and the Caribbean,Coffee,2000,723.0891201,192.828283
191,HRV,Croatia,Europe,Coffee,2000,35797.39439,18084.00722
192,CUB,Cuba,Latin America and the Caribbean,Coffee,2000,5513.50945,2838.164576
196,CYP,Cyprus,Northern Africa and Western Asia,Coffee,2000,5207.38126,2801.223063
203,CZE,Czech Republic,Europe,Coffee,2000,37362.10688,25845.27493
204,BEN,Benin,Sub-Saharan Africa,Coffee,2000,46.2417557,12.3751654
208,DNK,Denmark,Europe,Coffee,2000,108224.3557,55896.89807
212,DMA,Dominica,Latin America and the Caribbean,Coffee,2000,38.362633,7.423062
214,DOM,Dominican Republic,Latin America and the Caribbean,Coffee,2000,114.559613,32.093
218,ECU,Ecuador,Latin America and the Caribbean,Coffee,2000,4667.511696,6092.067861
222,SLV,El Salvador,Latin America and the Caribbean,Coffee,2000,937.1838743,621.1664722
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,Coffee,2000,0.234,0.148
231,ETH,Ethiopia,Sub-Saharan Africa,Coffee,2000,796.612821,618.343
232,ERI,Eritrea,Sub-Saharan Africa,Coffee,2000,2835.8131,2479.542
233,EST,Estonia,Europe,Coffee,2000,20377.16888,6288.391156
234,FRO,Faeroe Islands,Europe,Coffee,2000,939.2640115,245.8352976
238,FLK,Falkland Islands (Malvinas),Latin America and the Caribbean,Coffee,2000,46.587,22.216
242,FJI,Fiji,Oceania (excl. Australia and New Zealand),Coffee,2000,26.589,4.098
246,FIN,Finland,Europe,Coffee,2000,117161.4953,58081.40357
251,FRA,France,Europe,Coffee,2000,643292.2213,375440.0223
258,PYF,French Polynesia,Oceania (excl. Australia and New Zealand),Coffee,2000,3362.198235,649.381457
262,DJI,Djibouti,Sub-Saharan Africa,Coffee,2000,196.080879,126.841
266,GAB,Gabon,Sub-Saharan Africa,Coffee,2000,181.0456123,90.55355911
268,GEO,Georgia,Northern Africa and Western Asia,Coffee,2000,5972.164503,4128.175441
270,GMB,Gambia,Sub-Saharan Africa,Coffee,2000,74.622793,55.115
276,DEU,Germany,Europe,Coffee,2000,1510851.473,854217.4146
288,GHA,Ghana,Sub-Saharan Africa,Coffee,2000,68.353008,13.802
292,GIB,Gibraltar,Europe,Coffee,2000,107.034309,46.4911
296,KIR,Kiribati,Oceania (excl. Australia and New Zealand),Coffee,2000,95.069,12.339
300,GRC,Greece,Europe,Coffee,2000,64201.90233,36014.59094
304,GRL,Greenland,Northern America,Coffee,2000,644.386207,137.1857346
308,GRD,Grenada,Latin America and the Caribbean,Coffee,2000,298.3688799,159.8354072
316,GUM,Guam,Oceania (excl. Australia and New Zealand),Coffee,2000,21.585,2.88
320,GTM,Guatemala,Latin America and the Caribbean,Coffee,2000,5055.460953,1800.190076
324,GIN,Guinea,Sub-Saharan Africa,Coffee,2000,149.9279789,136.856989
328,GUY,Guyana,Latin America and the Caribbean,Coffee,2000,131.151337,61.1725477
336,VAT,Holy See,Europe,Coffee,2000,256.315439,65.2
340,HND,Honduras,Latin America and the Caribbean,Coffee,2000,247.1097467,120.3155686
344,HKG,"China, Hong Kong SAR",China,Coffee,2000,14510.52828,5901.714513
348,HUN,Hungary,Europe,Coffee,2000,41077.25138,30070.65919
352,ISL,Iceland,Europe,Coffee,2000,7147.439676,2201.42454
360,IDN,Indonesia,Eastern and South-Eastern Asia (excl. China),Coffee,2000,9482.166976,11779.66419
364,IRN,Iran,Central and Southern Asia,Coffee,2000,1445.225495,1514.25128
368,IRQ,Iraq,Northern Africa and Western Asia,Coffee,2000,18.072,6.28
372,IRL,Ireland,Europe,Coffee,2000,13660.73981,3916.871747
376,ISR,Israel,Northern Africa and Western Asia,Coffee,2000,40233.37328,22493.93201
381,ITA,Italy,Europe,Coffee,2000,582712.3383,369540.1696
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,Coffee,2000,422.10278,194.1191182
388,JAM,Jamaica,Latin America and the Caribbean,Coffee,2000,813.2624537,290.5054934
392,JPN,Japan,Eastern and South-Eastern Asia (excl. China),Coffee,2000,757206.0502,383303.8616
398,KAZ,Kazakhstan,Central and Southern Asia,Coffee,2000,1090.717733,119.88
400,JOR,Jordan,Northern Africa and Western Asia,Coffee,2000,12926.15107,9084.919456
404,KEN,Kenya,Sub-Saharan Africa,Coffee,2000,572.5060245,589.74733
408,PRK,"Korea, Democratic People’s Republic",Eastern and South-Eastern Asia (excl. China),Coffee,2000,7229.3021,3875.706
410,KOR,"Korea, Republic",Eastern and South-Eastern Asia (excl. China),Coffee,2000,90882.4207,64252.41092
414,KWT,Kuwait,Northern Africa and Western Asia,Coffee,2000,3634.457106,1897.26
417,KGZ,Kyrgyzstan,Central and Southern Asia,Coffee,2000,115.8056708,114.5850407
418,LAO,Lao PDR,Eastern and South-Eastern Asia (excl. China),Coffee,2000,210.833,385.86
422,LBN,Lebanon,Northern Africa and Western Asia,Coffee,2000,25081.67449,16214.83519
428,LVA,Latvia,Europe,Coffee,2000,15516.78567,4803.526017
430,LBR,Liberia,Sub-Saharan Africa,Coffee,2000,27.199264,26.629
